Model,n_estimators,max_features,Accuracy,ROC AUC,PR AUC,Precision,Recall,Confusion matrix,CV scores,CV mean score,Time (s)
SVC,5,4,0.863,0.881,0.884,0.883,0.84,"[[29, 1],<br> [6, 15]]","0.831, 0.846, 0.831<br>0.860, 0.891, 0.899<br>0.876, 0.884",0.863,5.488
SVC,10,4,0.863,0.93,0.929,0.883,0.84,"[[29, 1],<br> [6, 15]]","0.862, 0.900, 0.862<br>0.868, 0.884, 0.907<br>0.891, 0.884",0.88,10.896
SVC,50,4,0.863,0.925,0.924,0.883,0.84,"[[29, 1],<br> [6, 15]]","0.831, 0.892, 0.854<br>0.868, 0.884, 0.907<br>0.884, 0.860",0.873,57.402
SVC,100,4,0.863,0.935,0.934,0.905,0.833,"[[30, 0],<br> [7, 14]]","0.862, 0.885, 0.854<br>0.884, 0.891, 0.907<br>0.884, 0.860",0.882,109.235
SVC,5,8,0.922,0.919,0.926,0.941,0.905,"[[30, 0],<br> [4, 17]]","0.869, 0.877, 0.869<br>0.884, 0.876, 0.899<br>0.876, 0.899",0.88,5.428
SVC,10,8,0.902,0.944,0.943,0.912,0.888,"[[29, 1],<br> [4, 17]]","0.877, 0.915, 0.900<br>0.915, 0.891, 0.907<br>0.930, 0.915",0.908,10.174
SVC,50,8,0.882,0.941,0.942,0.897,0.864,"[[29, 1],<br> [5, 16]]","0.900, 0.915, 0.862<br>0.899, 0.891, 0.899<br>0.922, 0.930",0.905,60.909
SVC,100,8,0.882,0.951,0.949,0.897,0.864,"[[29, 1],<br> [5, 16]]","0.892, 0.931, 0.869<br>0.907, 0.899, 0.899<br>0.938, 0.907",0.908,104.911
Decision Tree,5,4,0.824,0.849,0.869,0.838,0.8,"[[28, 2],<br> [7, 14]]","0.800, 0.854, 0.815<br>0.884, 0.884, 0.884<br>0.876, 0.860",0.858,0.199
Decision Tree,10,4,0.863,0.924,0.929,0.883,0.84,"[[29, 1],<br> [6, 15]]","0.885, 0.885, 0.892<br>0.891, 0.884, 0.907<br>0.922, 0.837",0.882,0.336
Decision Tree,50,4,0.863,0.94,0.941,0.883,0.84,"[[29, 1],<br> [6, 15]]","0.862, 0.931, 0.869<br>0.884, 0.946, 0.899<br>0.891, 0.891",0.897,1.532
Decision Tree,100,4,0.843,0.946,0.945,0.869,0.817,"[[29, 1],<br> [7, 14]]","0.854, 0.938, 0.869<br>0.907, 0.915, 0.907<br>0.899, 0.907",0.901,4.457
Decision Tree,5,8,0.882,0.929,0.896,0.885,0.871,"[[28, 2],<br> [4, 17]]","0.854, 0.908, 0.831<br>0.884, 0.876, 0.876<br>0.891, 0.876",0.873,0.22
Decision Tree,10,8,0.922,0.944,0.942,0.941,0.905,"[[30, 0],<br> [4, 17]]","0.908, 0.938, 0.877<br>0.915, 0.899, 0.922<br>0.922, 0.922",0.911,0.41
Decision Tree,50,8,0.882,0.95,0.948,0.897,0.864,"[[29, 1],<br> [5, 16]]","0.923, 0.962, 0.915<br>0.922, 0.915, 0.922<br>0.953, 0.961",0.931,1.862
Decision Tree,100,8,0.922,0.952,0.953,0.941,0.905,"[[30, 0],<br> [4, 17]]","0.915, 0.969, 0.923<br>0.930, 0.915, 0.930<br>0.969, 0.969",0.938,3.676
GaussianNB,5,4,0.765,0.841,0.861,0.757,0.757,"[[24, 6],<br> [6, 15]]","0.823, 0.854, 0.800<br>0.837, 0.860, 0.899<br>0.837, 0.829",0.839,0.163
GaussianNB,10,4,0.843,0.851,0.872,0.843,0.831,"[[27, 3],<br> [5, 16]]","0.815, 0.815, 0.846<br>0.822, 0.868, 0.868<br>0.876, 0.829",0.846,0.293
GaussianNB,50,4,0.843,0.873,0.886,0.843,0.831,"[[27, 3],<br> [5, 16]]","0.831, 0.831, 0.838<br>0.829, 0.884, 0.853<br>0.860, 0.853",0.848,1.331
GaussianNB,100,4,0.863,0.881,0.899,0.869,0.848,"[[28, 2],<br> [5, 16]]","0.846, 0.846, 0.831<br>0.853, 0.868, 0.860<br>0.876, 0.845",0.856,3.102
GaussianNB,5,8,0.824,0.841,0.867,0.819,0.814,"[[26, 4],<br> [5, 16]]","0.831, 0.800, 0.800<br>0.860, 0.806, 0.845<br>0.860, 0.860",0.835,0.255
GaussianNB,10,8,0.843,0.87,0.889,0.843,0.831,"[[27, 3],<br> [5, 16]]","0.838, 0.846, 0.854<br>0.884, 0.829, 0.884<br>0.884, 0.884",0.864,0.494
GaussianNB,50,8,0.843,0.862,0.884,0.853,0.824,"[[28, 2],<br> [6, 15]]","0.862, 0.854, 0.838<br>0.853, 0.845, 0.876<br>0.884, 0.891",0.863,2.733
GaussianNB,100,8,0.843,0.873,0.898,0.853,0.824,"[[28, 2],<br> [6, 15]]","0.862, 0.846, 0.854<br>0.868, 0.845, 0.891<br>0.884, 0.884",0.866,3.778
CategoricalNB,5,4,0.804,0.852,0.859,0.801,0.79,"[[26, 4],<br> [6, 15]]","0.823, 0.777, 0.808<br>0.822, 0.860, 0.891<br>0.884, 0.876",0.846,0.211
CategoricalNB,10,4,0.804,0.9,0.892,0.801,0.79,"[[26, 4],<br> [6, 15]]","0.815, 0.854, 0.831<br>0.822, 0.876, 0.907<br>0.876, 0.837",0.853,0.408
CategoricalNB,50,4,0.784,0.898,0.895,0.783,0.767,"[[26, 4],<br> [7, 14]]","0.792, 0.862, 0.846<br>0.822, 0.876, 0.884<br>0.876, 0.876",0.858,1.732
CategoricalNB,100,4,0.843,0.911,0.909,0.853,0.824,"[[28, 2],<br> [6, 15]]","0.808, 0.869, 0.854<br>0.845, 0.884, 0.899<br>0.891, 0.868",0.867,4.689
CategoricalNB,5,8,0.824,0.875,0.886,0.826,0.807,"[[27, 3],<br> [6, 15]]","0.808, 0.846, 0.808<br>0.806, 0.845, 0.876<br>0.891, 0.853",0.839,0.406
CategoricalNB,10,8,0.863,0.927,0.919,0.86,0.855,"[[27, 3],<br> [4, 17]]","0.854, 0.900, 0.838<br>0.837, 0.884, 0.876<br>0.884, 0.899",0.873,0.474
CategoricalNB,50,8,0.863,0.919,0.916,0.86,0.855,"[[27, 3],<br> [4, 17]]","0.838, 0.900, 0.846<br>0.845, 0.891, 0.884<br>0.899, 0.884",0.876,2.02
CategoricalNB,100,8,0.863,0.932,0.93,0.86,0.855,"[[27, 3],<br> [4, 17]]","0.846, 0.908, 0.854<br>0.860, 0.884, 0.884<br>0.915, 0.891",0.883,4.01
