Model,n_estimators,max_features,Accuracy,ROC AUC,PR AUC,Precision,Recall,Confusion matrix,CV scores,CV mean score,Time (s)
SVC,5,23,0.821,0.975,0.883,0.839,0.822,"[[1746, 0, 1, 0, 0, 3],<br> [110, 480, 1006, 0, 0, 3],<br> [11, 145, 1559, 1, 0, 0],<br> [0, 0, 0, 1439, 70, 41],<br> [0, 0, 0, 61, 1099, 105],<br> [0, 0, 0, 38, 60, 1292]]","0.825, 0.835, 0.835<br>0.767, 0.864, 0.864<br>0.738, 0.765",0.811,13.08
SVC,10,23,0.846,0.981,0.911,0.862,0.847,"[[1672, 5, 70, 0, 0, 3],<br> [196, 706, 694, 0, 0, 3],<br> [21, 124, 1571, 0, 0, 0],<br> [0, 0, 0, 1474, 46, 30],<br> [0, 0, 0, 53, 1105, 107],<br> [0, 0, 0, 28, 49, 1313]]","0.864, 0.835, 0.874<br>0.796, 0.883, 0.854<br>0.806, 0.794",0.84,33.268
SVC,50,23,0.906,0.992,0.964,0.91,0.905,"[[1714, 1, 32, 0, 1, 2],<br> [86, 1149, 361, 0, 0, 3],<br> [1, 105, 1610, 0, 0, 0],<br> [0, 0, 0, 1476, 42, 32],<br> [0, 0, 0, 25, 1136, 104],<br> [0, 0, 0, 30, 51, 1309]]","0.903, 0.903, 0.893<br>0.893, 0.903, 0.883<br>0.864, 0.853",0.885,131.31
SVC,100,23,0.915,0.993,0.968,0.919,0.914,"[[1746, 0, 1, 0, 0, 3],<br> [55, 1183, 358, 0, 0, 3],<br> [1, 79, 1636, 0, 0, 0],<br> [0, 0, 0, 1473, 45, 32],<br> [0, 0, 0, 24, 1131, 110],<br> [0, 0, 0, 25, 50, 1315]]","0.922, 0.942, 0.922<br>0.922, 0.913, 0.893<br>0.864, 0.833",0.903,219.72
SVC,5,9,0.809,0.973,0.876,0.841,0.806,"[[1746, 0, 0, 0, 0, 4],<br> [15, 516, 1065, 0, 0, 3],<br> [2, 64, 1646, 1, 0, 3],<br> [0, 0, 0, 1372, 93, 85],<br> [0, 0, 0, 98, 1011, 156],<br> [0, 0, 0, 92, 85, 1213]]","0.816, 0.874, 0.864<br>0.786, 0.767, 0.806<br>0.738, 0.755",0.8,9.914
SVC,10,9,0.839,0.979,0.91,0.856,0.836,"[[1694, 0, 53, 0, 0, 3],<br> [127, 750, 719, 0, 0, 3],<br> [2, 98, 1614, 1, 0, 1],<br> [0, 0, 0, 1438, 65, 47],<br> [0, 0, 0, 80, 1022, 163],<br> [0, 0, 0, 69, 65, 1256]]","0.825, 0.845, 0.883<br>0.806, 0.864, 0.835<br>0.728, 0.765",0.826,19.497
SVC,50,9,0.855,0.983,0.931,0.872,0.854,"[[1649, 6, 91, 0, 0, 4],<br> [175, 812, 609, 0, 0, 3],<br> [5, 75, 1635, 0, 0, 1],<br> [0, 0, 0, 1455, 69, 26],<br> [0, 0, 0, 62, 1070, 133],<br> [0, 0, 0, 37, 52, 1301]]","0.825, 0.874, 0.864<br>0.796, 0.864, 0.835<br>0.816, 0.784",0.838,97.562
SVC,100,9,0.879,0.987,0.947,0.893,0.876,"[[1741, 0, 6, 0, 0, 3],<br> [75, 928, 593, 0, 0, 3],<br> [4, 33, 1678, 0, 0, 1],<br> [0, 0, 0, 1428, 80, 42],<br> [0, 0, 0, 51, 1075, 139],<br> [0, 0, 0, 37, 59, 1294]]","0.874, 0.913, 0.903<br>0.864, 0.864, 0.874<br>0.825, 0.824",0.868,195.936
SVC,5,56,0.917,0.992,0.963,0.918,0.916,"[[1748, 0, 0, 0, 0, 2],<br> [33, 1252, 311, 0, 0, 3],<br> [0, 158, 1558, 0, 0, 0],<br> [0, 0, 0, 1478, 40, 32],<br> [0, 0, 0, 27, 1151, 87],<br> [0, 0, 0, 24, 57, 1309]]","0.903, 0.893, 0.874<br>0.845, 0.903, 0.942<br>0.845, 0.863",0.881,12.131
SVC,10,56,0.923,0.994,0.974,0.924,0.923,"[[1734, 0, 15, 0, 0, 1],<br> [37, 1303, 256, 0, 0, 3],<br> [0, 173, 1543, 0, 0, 0],<br> [0, 0, 0, 1495, 27, 28],<br> [0, 0, 0, 24, 1159, 82],<br> [0, 0, 0, 23, 42, 1325]]","0.932, 0.922, 0.932<br>0.913, 0.951, 0.942<br>0.864, 0.882",0.913,25.737
SVC,50,56,0.93,0.995,0.977,0.932,0.93,"[[1749, 0, 0, 0, 0, 1],<br> [45, 1286, 265, 0, 0, 3],<br> [0, 138, 1578, 0, 0, 0],<br> [0, 0, 0, 1500, 27, 23],<br> [0, 0, 0, 8, 1177, 80],<br> [0, 0, 0, 14, 42, 1334]]","0.922, 0.922, 0.942<br>0.951, 0.951, 0.942<br>0.883, 0.873",0.92,114.279
SVC,100,56,0.932,0.995,0.979,0.933,0.931,"[[1749, 0, 0, 0, 0, 1],<br> [25, 1295, 276, 0, 0, 3],<br> [0, 127, 1589, 0, 0, 0],<br> [0, 0, 0, 1495, 31, 24],<br> [0, 0, 0, 8, 1176, 81],<br> [0, 0, 0, 13, 45, 1332]]","0.951, 0.922, 0.951<br>0.951, 0.951, 0.942<br>0.893, 0.873",0.926,231.823
Decision Tree,5,23,0.806,0.96,0.836,0.807,0.807,"[[1607, 98, 43, 0, 0, 2],<br> [236, 1003, 359, 0, 0, 1],<br> [127, 344, 1242, 0, 1, 2],<br> [0, 0, 0, 1416, 89, 45],<br> [0, 0, 0, 144, 1034, 87],<br> [0, 0, 0, 105, 118, 1167]]","0.883, 0.825, 0.777<br>0.748, 0.786, 0.835<br>0.786, 0.804",0.798,1.569
Decision Tree,10,23,0.839,0.975,0.886,0.841,0.84,"[[1608, 71, 68, 0, 1, 2],<br> [227, 994, 377, 0, 0, 1],<br> [69, 237, 1408, 0, 0, 2],<br> [0, 0, 0, 1453, 70, 27],<br> [0, 0, 0, 88, 1070, 107],<br> [1, 0, 0, 52, 95, 1242]]","0.883, 0.845, 0.835<br>0.854, 0.854, 0.893<br>0.845, 0.833",0.843,2.589
Decision Tree,50,23,0.913,0.993,0.966,0.915,0.912,"[[1710, 17, 21, 0, 0, 2],<br> [78, 1259, 261, 0, 0, 1],<br> [19, 120, 1577, 0, 0, 0],<br> [0, 0, 0, 1488, 42, 20],<br> [0, 0, 0, 40, 1119, 106],<br> [0, 0, 0, 23, 52, 1315]]","0.942, 0.942, 0.903<br>0.874, 0.922, 0.913<br>0.913, 0.912",0.913,11.313
Decision Tree,100,23,0.928,0.995,0.978,0.928,0.926,"[[1742, 2, 4, 0, 0, 2],<br> [40, 1332, 226, 0, 0, 1],<br> [8, 94, 1614, 0, 0, 0],<br> [0, 0, 0, 1480, 49, 21],<br> [0, 0, 0, 39, 1113, 113],<br> [0, 0, 0, 17, 51, 1322]]","0.961, 0.971, 0.913<br>0.913, 0.913, 0.932<br>0.922, 0.892",0.924,23.369
Decision Tree,5,9,0.752,0.947,0.773,0.758,0.752,"[[1488, 172, 88, 1, 0, 1],<br> [339, 969, 289, 0, 0, 2],<br> [246, 352, 1117, 0, 0, 1],<br> [0, 0, 0, 1379, 103, 68],<br> [0, 0, 0, 197, 950, 118],<br> [0, 0, 0, 210, 116, 1064]]","0.728, 0.728, 0.718<br>0.680, 0.718, 0.699<br>0.650, 0.657",0.709,0.616
Decision Tree,10,9,0.799,0.967,0.845,0.802,0.799,"[[1534, 107, 104, 0, 0, 5],<br> [269, 1000, 328, 0, 0, 2],<br> [139, 290, 1287, 0, 0, 0],<br> [0, 0, 0, 1430, 72, 48],<br> [0, 0, 0, 134, 988, 143],<br> [0, 0, 0, 145, 78, 1167]]","0.767, 0.748, 0.786<br>0.806, 0.796, 0.806<br>0.728, 0.745",0.771,1.248
Decision Tree,50,9,0.865,0.984,0.931,0.869,0.865,"[[1610, 59, 78, 0, 0, 3],<br> [179, 1095, 323, 0, 0, 2],<br> [79, 141, 1496, 0, 0, 0],<br> [0, 0, 0, 1476, 54, 20],<br> [0, 0, 0, 72, 1060, 133],<br> [0, 0, 0, 45, 60, 1285]]","0.835, 0.883, 0.854<br>0.825, 0.874, 0.864<br>0.835, 0.824",0.85,6.863
Decision Tree,100,9,0.892,0.99,0.956,0.896,0.891,"[[1684, 23, 41, 0, 0, 2],<br> [113, 1161, 324, 0, 0, 1],<br> [50, 92, 1574, 0, 0, 0],<br> [0, 0, 0, 1478, 61, 11],<br> [0, 0, 0, 56, 1074, 135],<br> [0, 0, 0, 27, 61, 1302]]","0.854, 0.922, 0.845<br>0.874, 0.874, 0.903<br>0.854, 0.833",0.871,12.43
Decision Tree,5,56,0.862,0.976,0.894,0.861,0.859,"[[1749, 0, 1, 0, 0, 0],<br> [95, 1193, 309, 0, 0, 2],<br> [20, 249, 1442, 2, 0, 3],<br> [0, 0, 0, 1413, 81, 56],<br> [0, 0, 0, 134, 1035, 96],<br> [0, 0, 0, 130, 98, 1162]]","0.825, 0.903, 0.903<br>0.883, 0.864, 0.874<br>0.835, 0.853",0.868,2.281
Decision Tree,10,56,0.914,0.991,0.954,0.912,0.911,"[[1748, 0, 0, 0, 1, 1],<br> [42, 1381, 174, 0, 0, 2],<br> [5, 179, 1531, 0, 0, 1],<br> [0, 0, 0, 1466, 49, 35],<br> [0, 0, 0, 73, 1085, 107],<br> [0, 0, 0, 73, 58, 1259]]","0.942, 0.951, 0.942<br>0.932, 0.922, 0.932<br>0.893, 0.902",0.921,4.36
Decision Tree,50,56,0.941,0.996,0.98,0.94,0.939,"[[1749, 0, 0, 0, 0, 1],<br> [31, 1434, 132, 0, 0, 2],<br> [0, 138, 1577, 1, 0, 0],<br> [0, 0, 0, 1497, 39, 14],<br> [0, 0, 0, 46, 1139, 80],<br> [0, 0, 0, 28, 39, 1323]]","0.961, 0.971, 0.951<br>0.961, 0.951, 0.942<br>0.932, 0.892",0.939,23.669
Decision Tree,100,56,0.946,0.997,0.984,0.945,0.944,"[[1750, 0, 0, 0, 0, 0],<br> [21, 1466, 110, 0, 0, 2],<br> [0, 132, 1584, 0, 0, 0],<br> [0, 0, 0, 1493, 38, 19],<br> [0, 0, 0, 41, 1147, 77],<br> [0, 0, 0, 23, 38, 1329]]","0.961, 0.971, 0.971<br>0.961, 0.951, 0.932<br>0.913, 0.922",0.94,47.564
