Model,n_estimators,max_features,Accuracy,ROC AUC,PR AUC,Precision,Recall,Confusion matrix,CV scores,CV mean score,Time (s)
SVC,5,4,0.841,0.903,0.871,0.843,0.832,"[[1314, 147],<br> [260, 842]]","0.762, 0.792, 0.762<br>0.822, 0.829, 0.907<br>0.829, 0.744",0.808,3.969
SVC,10,4,0.833,0.916,0.884,0.836,0.823,"[[1314, 147],<br> [280, 822]]","0.777, 0.823, 0.862<br>0.829, 0.884, 0.907<br>0.891, 0.767",0.846,9.497
SVC,50,4,0.88,0.953,0.94,0.886,0.871,"[[1371, 90],<br> [217, 885]]","0.838, 0.931, 0.892<br>0.899, 0.891, 0.915<br>0.922, 0.876",0.896,41.8
SVC,100,4,0.877,0.952,0.943,0.884,0.867,"[[1376, 85],<br> [230, 872]]","0.838, 0.892, 0.877<br>0.884, 0.891, 0.915<br>0.922, 0.868",0.887,85.37
SVC,5,8,0.879,0.929,0.907,0.886,0.868,"[[1381, 80],<br> [231, 871]]","0.838, 0.862, 0.838<br>0.884, 0.891, 0.907<br>0.907, 0.845",0.871,4.493
SVC,10,8,0.902,0.952,0.934,0.904,0.895,"[[1377, 84],<br> [168, 934]]","0.862, 0.877, 0.892<br>0.930, 0.899, 0.922<br>0.938, 0.868",0.896,6.579
SVC,50,8,0.9,0.958,0.951,0.904,0.893,"[[1380, 81],<br> [175, 927]]","0.908, 0.915, 0.908<br>0.930, 0.907, 0.907<br>0.938, 0.907",0.91,39.062
SVC,100,8,0.899,0.958,0.951,0.902,0.892,"[[1379, 82],<br> [177, 925]]","0.900, 0.915, 0.900<br>0.938, 0.891, 0.915<br>0.938, 0.915",0.911,75.61
Decision Tree,5,4,0.784,0.843,0.772,0.787,0.769,"[[1278, 183],<br> [371, 731]]","0.746, 0.754, 0.777<br>0.884, 0.845, 0.860<br>0.853, 0.853",0.814,0.193
Decision Tree,10,4,0.84,0.911,0.88,0.85,0.826,"[[1356, 105],<br> [304, 798]]","0.838, 0.838, 0.838<br>0.907, 0.899, 0.884<br>0.907, 0.899",0.875,0.294
