Model,n_estimators,max_features,Accuracy,ROC AUC,PR AUC,Precision,Recall,Confusion matrix,CV scores,CV mean score,Time (s)
SVC,5,sqrt,0.825,0.962,0.847,0.833,0.829,"[[1513, 112, 116, 0, 0, 9],<br> [142, 1117, 335, 0, 0, 5],<br> [57, 460, 1195, 0, 0, 4],<br> [0, 0, 0, 1474, 28, 48],<br> [0, 0, 0, 104, 1047, 114],<br> [0, 0, 0, 45, 41, 1304]]","0.709, 0.728, 0.816<br>0.767, 0.816, 0.748<br>0.670, 0.765",0.755,11.97
SVC,10,sqrt,0.897,0.984,0.936,0.9,0.896,"[[1721, 9, 20, 0, 0, 0],<br> [31, 1207, 357, 0, 0, 4],<br> [6, 205, 1502, 0, 0, 3],<br> [0, 0, 0, 1484, 23, 43],<br> [0, 0, 0, 68, 1081, 116],<br> [0, 0, 0, 28, 38, 1324]]","0.864, 0.806, 0.835<br>0.806, 0.845, 0.845<br>0.728, 0.755",0.816,21.106
SVC,50,sqrt,0.887,0.989,0.953,0.902,0.885,"[[1704, 2, 42, 0, 0, 2],<br> [88, 977, 531, 0, 0, 3],<br> [8, 51, 1657, 0, 0, 0],<br> [0, 0, 0, 1495, 25, 30],<br> [0, 0, 0, 45, 1077, 143],<br> [0, 0, 0, 36, 41, 1313]]","0.883, 0.903, 0.874<br>0.913, 0.903, 0.932<br>0.777, 0.853",0.879,154.701
SVC,100,sqrt,0.898,0.991,0.962,0.911,0.896,"[[1730, 0, 19, 0, 0, 1],<br> [47, 1041, 508, 0, 0, 3],<br> [2, 42, 1672, 0, 0, 0],<br> [0, 0, 0, 1483, 31, 36],<br> [0, 0, 0, 47, 1078, 140],<br> [0, 0, 0, 26, 42, 1322]]","0.893, 0.893, 0.893<br>0.893, 0.922, 0.922<br>0.786, 0.863",0.884,224.061
SVC,5,log2,0.653,0.898,0.671,0.675,0.668,"[[673, 537, 527, 5, 3, 5],<br> [310, 474, 809, 1, 0, 5],<br> [170, 352, 1187, 2, 0, 5],<br> [0, 0, 0, 1470, 32, 48],<br> [0, 0, 0, 83, 1012, 170],<br> [1, 0, 0, 112, 41, 1236]]","0.689, 0.602, 0.748<br>0.670, 0.786, 0.757<br>0.563, 0.647",0.686,9.184
SVC,10,log2,0.724,0.936,0.761,0.739,0.732,"[[1141, 172, 425, 3, 3, 6],<br> [452, 277, 865, 0, 0, 5],<br> [148, 73, 1492, 0, 0, 3],<br> [0, 0, 0, 1497, 21, 32],<br> [0, 0, 0, 61, 1044, 160],<br> [0, 0, 0, 96, 35, 1259]]","0.689, 0.670, 0.777<br>0.709, 0.767, 0.825<br>0.583, 0.657",0.719,21.887
SVC,50,log2,0.762,0.976,0.898,0.834,0.765,"[[1486, 0, 260, 0, 0, 4],<br> [436, 105, 1055, 0, 0, 3],<br> [61, 3, 1652, 0, 0, 0],<br> [0, 0, 0, 1491, 36, 23],<br> [0, 0, 0, 66, 1043, 156],<br> [0, 0, 0, 64, 39, 1287]]","0.728, 0.699, 0.835<br>0.777, 0.806, 0.913<br>0.631, 0.775",0.775,105.179
SVC,100,log2,0.777,0.984,0.931,0.844,0.777,"[[1650, 0, 97, 0, 0, 3],<br> [405, 100, 1091, 0, 0, 3],<br> [41, 0, 1675, 0, 0, 0],<br> [0, 0, 0, 1453, 53, 44],<br> [0, 0, 0, 84, 1021, 160],<br> [0, 0, 0, 43, 46, 1301]]","0.777, 0.757, 0.883<br>0.835, 0.825, 0.913<br>0.670, 0.833",0.816,232.959
SVC,5,56,0.87,0.972,0.893,0.874,0.873,"[[1649, 69, 28, 2, 0, 2],<br> [63, 1191, 342, 0, 0, 3],<br> [33, 387, 1295, 0, 0, 1],<br> [0, 0, 0, 1485, 33, 32],<br> [0, 0, 0, 44, 1122, 99],<br> [0, 0, 0, 32, 35, 1323]]","0.864, 0.913, 0.874<br>0.816, 0.893, 0.883<br>0.748, 0.814",0.856,13.34
SVC,10,56,0.912,0.986,0.948,0.915,0.912,"[[1748, 0, 2, 0, 0, 0],<br> [20, 1231, 345, 0, 0, 3],<br> [0, 199, 1517, 0, 0, 0],<br> [0, 0, 0, 1495, 21, 34],<br> [0, 0, 0, 32, 1129, 104],<br> [0, 0, 0, 21, 33, 1336]]","0.883, 0.903, 0.903<br>0.845, 0.913, 0.922<br>0.777, 0.843",0.879,25.271
SVC,50,56,0.918,0.992,0.967,0.926,0.917,"[[1748, 0, 2, 0, 0, 0],<br> [33, 1150, 413, 0, 0, 3],<br> [0, 71, 1645, 0, 0, 0],<br> [0, 0, 0, 1511, 10, 29],<br> [0, 0, 0, 29, 1120, 116],<br> [0, 0, 0, 21, 30, 1339]]","0.913, 0.942, 0.922<br>0.913, 0.951, 0.942<br>0.825, 0.882",0.911,126.312
SVC,100,56,0.923,0.993,0.972,0.93,0.921,"[[1749, 0, 0, 0, 0, 1],<br> [30, 1179, 387, 0, 0, 3],<br> [0, 64, 1652, 0, 0, 0],<br> [0, 0, 0, 1505, 10, 35],<br> [0, 0, 0, 29, 1122, 114],<br> [0, 0, 0, 16, 28, 1346]]","0.922, 0.942, 0.913<br>0.922, 0.971, 0.942<br>0.825, 0.882",0.914,257.428
Decision Tree,5,sqrt,0.796,0.962,0.835,0.797,0.798,"[[1536, 131, 79, 0, 1, 3],<br> [192, 1003, 403, 0, 0, 1],<br> [109, 285, 1314, 1, 2, 5],<br> [0, 0, 0, 1346, 70, 134],<br> [0, 0, 0, 66, 1071, 128],<br> [0, 0, 0, 168, 110, 1112]]","0.816, 0.825, 0.845<br>0.777, 0.777, 0.835<br>0.806, 0.814",0.81,1.729
Decision Tree,10,sqrt,0.86,0.983,0.916,0.862,0.861,"[[1621, 71, 55, 0, 1, 2],<br> [126, 1147, 325, 0, 0, 1],<br> [61, 210, 1442, 0, 0, 3],<br> [0, 0, 0, 1435, 60, 55],<br> [0, 0, 0, 83, 1083, 99],<br> [0, 0, 0, 81, 61, 1248]]","0.854, 0.874, 0.864<br>0.825, 0.913, 0.883<br>0.854, 0.902",0.874,2.75
Decision Tree,50,sqrt,0.924,0.994,0.972,0.925,0.923,"[[1740, 0, 7, 0, 1, 2],<br> [55, 1326, 217, 0, 0, 1],<br> [32, 99, 1584, 0, 0, 1],<br> [0, 0, 0, 1487, 39, 24],<br> [0, 0, 0, 50, 1115, 100],<br> [0, 0, 0, 27, 45, 1318]]","0.932, 0.932, 0.922<br>0.913, 0.961, 0.932<br>0.883, 0.882",0.922,13.171
Decision Tree,100,sqrt,0.934,0.996,0.979,0.934,0.932,"[[1746, 0, 2, 0, 0, 2],<br> [39, 1359, 200, 0, 0, 1],<br> [17, 80, 1619, 0, 0, 0],<br> [0, 0, 0, 1488, 42, 20],<br> [0, 0, 0, 45, 1119, 101],<br> [0, 0, 0, 19, 43, 1328]]","0.942, 0.951, 0.932<br>0.903, 0.971, 0.951<br>0.883, 0.892",0.929,25.849
Decision Tree,5,log2,0.638,0.903,0.643,0.645,0.646,"[[1156, 275, 314, 1, 0, 4],<br> [355, 709, 534, 0, 0, 1],<br> [257, 528, 926, 3, 0, 2],<br> [0, 0, 0, 1114, 226, 210],<br> [0, 0, 0, 150, 958, 157],<br> [0, 0, 1, 205, 129, 1055]]","0.631, 0.621, 0.670<br>0.660, 0.660, 0.660<br>0.621, 0.716",0.653,0.874
