Model,n_estimators,max_features,Accuracy,ROC AUC,PR AUC,Precision,Recall,Confusion matrix,CV scores,CV mean score,Time (s)
Decision Tree,5,sqrt,0.898,0.984,0.927,0.897,0.897,"[[1724, 23, 0, 0, 3, 0],<br> [96, 1331, 170, 0, 1, 1],<br> [7, 220, 1486, 1, 1, 1],<br> [0, 0, 0, 1439, 60, 51],<br> [0, 0, 0, 47, 1115, 103],<br> [0, 0, 0, 79, 77, 1234]]","0.913, 0.922, 0.903<br>0.883, 0.825, 0.883<br>0.883, 0.833",0.877,1.005
Decision Tree,10,sqrt,0.926,0.992,0.958,0.924,0.924,"[[1749, 0, 0, 0, 1, 0],<br> [33, 1430, 134, 0, 1, 1],<br> [0, 209, 1506, 0, 1, 0],<br> [0, 0, 0, 1469, 48, 33],<br> [0, 0, 0, 26, 1137, 102],<br> [0, 0, 0, 42, 57, 1291]]","0.932, 0.913, 0.942<br>0.913, 0.893, 0.903<br>0.903, 0.892",0.908,2.225
Decision Tree,50,sqrt,0.942,0.996,0.981,0.941,0.94,"[[1747, 0, 0, 0, 0, 3],<br> [19, 1470, 109, 0, 0, 1],<br> [0, 174, 1542, 0, 0, 0],<br> [0, 0, 0, 1489, 40, 21],<br> [0, 0, 0, 39, 1151, 75],<br> [0, 0, 0, 19, 42, 1329]]","0.961, 0.951, 0.961<br>0.951, 0.942, 0.903<br>0.922, 0.931",0.939,9.613
Decision Tree,100,sqrt,0.941,0.997,0.985,0.941,0.94,"[[1747, 0, 0, 0, 0, 3],<br> [19, 1468, 111, 0, 0, 1],<br> [0, 180, 1536, 0, 0, 0],<br> [0, 0, 0, 1491, 37, 22],<br> [0, 0, 0, 30, 1153, 82],<br> [0, 0, 0, 18, 41, 1331]]","0.961, 0.961, 0.971<br>0.961, 0.951, 0.913<br>0.903, 0.922",0.938,19.706
Decision Tree,5,log2,0.866,0.978,0.895,0.866,0.865,"[[1677, 63, 7, 1, 1, 1],<br> [110, 1235, 253, 0, 0, 1],<br> [29, 287, 1396, 0, 0, 4],<br> [0, 1, 0, 1464, 45, 40],<br> [1, 3, 0, 66, 1100, 95],<br> [0, 0, 0, 147, 91, 1152]]","0.748, 0.854, 0.825<br>0.845, 0.893, 0.874<br>0.854, 0.814",0.835,0.549
Decision Tree,10,log2,0.9,0.989,0.945,0.899,0.898,"[[1721, 12, 12, 0, 3, 2],<br> [55, 1324, 217, 1, 0, 2],<br> [14, 245, 1453, 1, 0, 3],<br> [0, 0, 0, 1482, 35, 33],<br> [0, 0, 0, 56, 1099, 110],<br> [0, 0, 0, 73, 57, 1260]]","0.854, 0.893, 0.893<br>0.854, 0.883, 0.932<br>0.893, 0.863",0.882,1.01
Decision Tree,50,log2,0.938,0.996,0.981,0.937,0.936,"[[1747, 0, 0, 0, 0, 3],<br> [19, 1410, 168, 0, 0, 2],<br> [0, 112, 1603, 1, 0, 0],<br> [0, 0, 0, 1478, 49, 23],<br> [0, 0, 0, 34, 1122, 109],<br> [0, 0, 0, 22, 36, 1332]]","0.913, 0.971, 0.971<br>0.932, 0.942, 0.942<br>0.942, 0.912",0.939,4.478
Decision Tree,100,log2,0.944,0.997,0.985,0.943,0.942,"[[1747, 0, 0, 0, 0, 3],<br> [20, 1432, 145, 0, 0, 2],<br> [1, 92, 1623, 0, 0, 0],<br> [0, 0, 0, 1486, 46, 18],<br> [0, 0, 0, 34, 1137, 94],<br> [0, 0, 0, 25, 39, 1326]]","0.922, 0.961, 0.971<br>0.942, 0.922, 0.932<br>0.932, 0.922",0.937,9.859
Decision Tree,5,56,0.907,0.986,0.937,0.906,0.905,"[[1750, 0, 0, 0, 0, 0],<br> [21, 1379, 198, 0, 0, 1],<br> [0, 232, 1482, 1, 0, 1],<br> [0, 0, 0, 1457, 31, 62],<br> [0, 0, 0, 62, 1128, 75],<br> [0, 0, 0, 99, 79, 1212]]","0.922, 0.883, 0.951<br>0.922, 0.932, 0.883<br>0.874, 0.892",0.907,1.878
Decision Tree,10,56,0.92,0.992,0.96,0.921,0.92,"[[1750, 0, 0, 0, 0, 0],<br> [19, 1432, 147, 0, 0, 1],<br> [0, 254, 1459, 2, 0, 1],<br> [0, 0, 0, 1477, 31, 42],<br> [0, 0, 0, 56, 1142, 67],<br> [0, 0, 0, 74, 43, 1273]]","0.961, 0.903, 0.961<br>0.971, 0.942, 0.922<br>0.922, 0.912",0.934,4.064
Decision Tree,50,56,0.932,0.996,0.978,0.932,0.932,"[[1750, 0, 0, 0, 0, 0],<br> [16, 1449, 133, 0, 0, 1],<br> [0, 232, 1484, 0, 0, 0],<br> [0, 0, 0, 1493, 32, 25],<br> [0, 0, 0, 41, 1153, 71],<br> [0, 0, 0, 37, 39, 1314]]","0.942, 0.951, 0.971<br>0.971, 0.951, 0.913<br>0.903, 0.912",0.938,19.413
Decision Tree,100,56,0.933,0.996,0.98,0.933,0.933,"[[1750, 0, 0, 0, 0, 0],<br> [15, 1450, 133, 0, 0, 1],<br> [0, 233, 1483, 0, 0, 0],<br> [0, 0, 0, 1494, 33, 23],<br> [0, 0, 0, 39, 1152, 74],<br> [0, 0, 0, 30, 40, 1320]]","0.942, 0.961, 0.981<br>0.961, 0.951, 0.913<br>0.903, 0.912",0.938,39.058
